id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
209351666,2024-04-26 00:09:08,2024-04-26,2024-04-25 23:09:08 UTC,London,22624,major_bombylius,Jon Mortin,2024-04-25 23:15:04 UTC,2024-04-26 10:22:33 UTC,research,CC-BY,https://www.inaturalist.org/observations/209351666,https://inaturalist-open-data.s3.amazonaws.com/photos/370484388/medium.jpeg,,"",,1,0,false,2,"St Andrew's, Bristol, UK",51.4739991466,-2.5856437907,21,,,,21,,,false,gps,gps,Green Cellar Slug,Limacus maculatus,Green Cellar Slug,Mollusca,371870
209359519,2024-04-26 00:03:02,2024-04-26,2024-04-25 23:03:02 UTC,London,1667266,bobhelson,Bob Helson,2024-04-26 00:00:56 UTC,2024-04-26 00:01:03 UTC,casual,CC0,https://www.inaturalist.org/observations/209359519,https://inaturalist-open-data.s3.amazonaws.com/photos/370499626/medium.jpeg,,"",,0,0,true,2,"Hotwells, Bristol, UK",51.4528033,-2.6187743,13,,,,13,,,false,,,Human,Homo sapiens,Human,Mammalia,43584
209359545,2024-04-26 00:05:24,2024-04-26,2024-04-25 23:05:24 UTC,London,1667266,bobhelson,Bob Helson,2024-04-26 00:01:05 UTC,2024-04-26 00:01:11 UTC,needs_id,CC0,https://www.inaturalist.org/observations/209359545,https://inaturalist-open-data.s3.amazonaws.com/photos/370499664/medium.jpeg,,"",,0,0,false,2,"Hotwells, Bristol, UK",51.4527813,-2.6187943,14,,,,14,,,false,,,False Widow Spiders,Steatoda,False Widow Spiders,Arachnida,61998
209411418,2024-04-26 06:12:13+01:00,2024-04-26,2024-04-26 05:12:13 UTC,London,792215,scanters,,2024-04-26 05:12:44 UTC,2024-04-26 05:30:20 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/209411418,https://inaturalist-open-data.s3.amazonaws.com/photos/370591497/medium.jpg,,"","",1,0,true,3,"Fishponds Road, Bristol, England, GB",51.4750139965,-2.5432716535,9,,,,9,,,false,,,London Plane,Platanus × hispanica,London Plane,Plantae,552449
209411527,2024-04-26 06:13:29+01:00,2024-04-26,2024-04-26 05:13:29 UTC,London,792215,scanters,,2024-04-26 05:13:44 UTC,2024-04-26 06:09:10 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/209411527,https://inaturalist-open-data.s3.amazonaws.com/photos/370591748/medium.jpg,,"","",1,0,false,3,"Fishponds Road, Bristol, England, GB",51.4751876048,-2.5434296851,4,,,,4,,,false,,,brambles,Rubus,brambles,Plantae,47544
209411574,2024-04-26 06:13:57+01:00,2024-04-26,2024-04-26 05:13:57 UTC,London,792215,scanters,,2024-04-26 05:14:08 UTC,2024-04-26 06:09:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209411574,https://inaturalist-open-data.s3.amazonaws.com/photos/370591812/medium.jpg,,"","",1,0,false,3,"Fishponds Road, Bristol, England, GB",51.4751602617,-2.5434663054,4,,,,4,,,false,,,common dandelion,Taraxacum officinale,common dandelion,Plantae,47602
209414303,2024-04-26 06:31:28,2024-04-26,2024-04-26 05:31:28 UTC,London,6536814,szczurcik,Piotr Wojcik,2024-04-26 05:32:41 UTC,2024-04-26 06:09:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/209414303,https://inaturalist-open-data.s3.amazonaws.com/photos/370596362/medium.jpeg,,"",,1,0,false,2,"Bristol BS5, UK",51.4676100695,-2.5423368439,9,,,,9,,,false,gps,gps,ground-ivy,Glechoma hederacea,ground-ivy,Plantae,55830
209421048,2024-04-26 07:11:18+01:00,2024-04-26,2024-04-26 06:11:18 UTC,London,792215,scanters,,2024-04-26 06:11:31 UTC,2024-04-26 06:59:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209421048,https://inaturalist-open-data.s3.amazonaws.com/photos/370607165/medium.jpg,,"","",1,0,false,3,"Fishponds Road, Bristol, England, GB",51.4750139965,-2.5432716535,9,,,,9,,open,false,,,Bay laurel,Laurus nobilis,Bay laurel,Plantae,54759
209421261,2024-04-26 07:11:42+01:00,2024-04-26,2024-04-26 06:11:42 UTC,London,792215,scanters,,2024-04-26 06:12:54 UTC,2024-04-26 06:13:52 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/209421261,https://inaturalist-open-data.s3.amazonaws.com/photos/370607521/medium.jpg,,"","",0,0,true,3,"Fishponds Road, Bristol, England, GB",51.4750139965,-2.5432716535,9,,,,9,,,false,,,"",Salvia rosmarinus,Rosemary,Plantae,636795
209421280,2024-04-26 07:12:13+01:00,2024-04-26,2024-04-26 06:12:13 UTC,London,792215,scanters,,2024-04-26 06:13:00 UTC,2024-04-26 07:05:03 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/209421280,https://inaturalist-open-data.s3.amazonaws.com/photos/370607312/medium.jpg,,"","",2,0,false,3,"Fishponds Road, Bristol, England, GB",51.4750139965,-2.5432716535,9,,,,9,,,false,,,Bluebells,Hyacinthoides,Bluebells,Plantae,56095
